province,name_of_institution,dli_number,city,campuses,offers_pgwp_programs,PGWP_Tag,extraction_date
Alberta,Canadian Health and Business College,O263194936682,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Canadian Institute of Osteopathic Therapy Inc,O140801484352,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Canford Institute of Technology,O137690731772,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Capstone Edge College,O146014403412,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,"CDI College of Business, Technology and Health Care",O262084414542,Calgary,"Calgary, Calgary City Centre, Calgary South",No,No,2023-04-26 22:29:09.112874
Alberta,"CDI College of Business, Technology and Health Care",O262084414542,Edmonton,"Edmonton West, Edmonton South, Edmonton North, Edmonton City Centre",No,No,2023-04-26 22:29:09.112874
Alberta,"CDI College of Business, Technology and Health Care",O262084414542,Red Deer,Red Deer,No,No,2023-04-26 22:29:09.112874
Alberta,"Centennial Flight Centre, Inc.",O111345518667,Sturgeon County,Sturgeon County,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,"CLI College of Business, Health & Technology",O117353642757,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Columbia College,O19391275502,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Concordia Lutheran Seminary,O110120786917,Edmonton,Edmonton,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Concordia University of Edmonton,O19073475522,Edmonton,Edmonton,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,CPA Western School of Business,O213501325307,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Cultural Connections Institute-The Learning Exchange (CCI-LEX),O125073908927,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Cypress College Inc.,O242536283107,Medicine Hat,Cypress College – Brooks Campus; Cypress College – Taber Campus,No,No,2023-04-26 22:29:09.112874
Alberta,Delmar College of Hair and Esthetics Inc.,O110206814387,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Digital School,O19256763892,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,East-West College of Business and Technology,O138917416102,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Edmonton Flying Club,O246354917297,Spruce Grove,Spruce Grove,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,Elevated Learning Academy Inc.,O112565603857,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Elevated Learning Academy Inc.,O112565603857,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Equilibrium School,O212476866687,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,ERP College,O124300140577,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Excel Flight Training Incorporated,O260902561272,Lethbridge,Lethbridge,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,Global College of Business & Technology,O148782527182,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Glenbow College,O265009534572,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Northwestern Polytechnic,O19391056654,Fairview,Fairview Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northwestern Polytechnic,O19391056654,Grand Prairie,Grande Prairie Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Hamptons College,O267576829032,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,InnoTech College,O126734792847,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,International Gateway Language Academy and College Calgary,O149663303652,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Keyano College,O19283886532,Fort McMurray,Fort McMurray,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Lakeland College,O18777577472,Lloydminster,Lloydminster Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Lakeland College,O18777577472,Vermillion,Vermillion Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Lethbridge College,O19391056756,Lethbridge,Lethbridge,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,LR Helicopters Inc.,O19257308652,Calgary,Calgary,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,MacEwan University,O19092022262,Edmonton,"City Centre Campus, Centre for the Arts & Communications, Alberta College",Yes,Yes,2023-04-26 22:29:09.112874
Alberta,MaKami College Inc.,O113097545597,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,MaKami College Inc.,O113097545597,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Maple Leaf Academy,O114623912037,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,MC College,O19283886842,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,MC College,O19283886842,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,MC College,O19283886842,Red Deer,Red Deer,No,No,2023-04-26 22:29:09.112874
Alberta,McMurray Aviation,O134967087712,Fort McMurray,Fort McMurray,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,MCG Career College,O263593006222,Calgary,"Calgary, Cold Lake, Red Deer",No,No,2023-04-26 22:29:09.112874
Alberta,Medicine Hat College,O18795445892,Brooks,Brooks Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Medicine Hat College,O18795445892,Medicine Hat,Medicine Hat Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,MH Vicars School of Massage Therapy Ltd,O116699506097,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,MH Vicars School of Massage Therapy Ltd,O116699506097,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Montair Aviation,O245553175217,Springbrook,Springbrook,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,Mount Royal University,O18761482032,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,MTG Healthcare Academy,O266174955722,Calgary,"Calgary, Edmonton, Red Deer",No,No,2023-04-26 22:29:09.112874
Alberta,NAIT (Northern Alberta Institute of Technology),O18713200642,Calgary,Calgary Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NAIT (Northern Alberta Institute of Technology),O18713200642,Edmonton,"Main Campus, Patricia Campus, Souch Campus",Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NAIT (Northern Alberta Institute of Technology),O18713200642,St. Albert,St. Albert Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NIWE Academy Inc.,O124154604587,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Newman Theological College,O19391057177,Edmonton,Edmonton,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Drayton Valley,Drayton Valley Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Edmonton,"Edmonton Downtown, Westmount Campus",Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Stony Plain,Stony Plain Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Westlock,Westlock Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Wetaskiwin,Wetaskiwin Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,NorQuest College,O18795996622,Whitecourt,Whitecourt campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Grouard,Grouard Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Slave Lake,Slave Lake Main Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Athabasca,Athabasca Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Fort Vermillion,Fort Vermillion Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,High Level,High Level Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,High Prairie,High Prairie Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Grande Prairie,Grande Prairie Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Peace River,Peace River Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Valleyview,Valleyview Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Northern Lakes College,O19391056848,Wabasca,Wabasca Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Olds College,O18713227822,Calgary,Calgary Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Olds College,O18713227822,Olds,Olds Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Olds College,O18713227822,Edmonton,Edmonton Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,PeerlessTraining Institute,O266456888092,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Pixel Blue College Inc,O114625611087,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Portage College,O111010246767,"Lac La Biche, Cold Lake, St.Paul","Lac La Biche, Cold Lake, St.Paul",Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Prairie College,O19273724652,Three Hills,"Three Hills, Prairie Aviation Training Centre",Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Professional Institute of Massage Therapy,O213391076817,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Red Deer Polytechnic,O19391056880,Red Deer,Red Deer,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,QCom College of Technology,O263592785432,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Reeves College,O140845267032,Calgary,"Calgary City Centre, Calgary North",No,No,2023-04-26 22:29:09.112874
Alberta,Reeves College,O140845267032,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Reeves College,O140845267032,Lethbridge,Lethbridge,No,No,2023-04-26 22:29:09.112874
Alberta,Reeves College,O140845267032,Lloydminster,Lloydminster,No,No,2023-04-26 22:29:09.112874
Alberta,Robertson College,O143319448932,"Calgary, Edmonton","Calgary, Edmonton",No,No,2023-04-26 22:29:09.112874
Alberta,Rocky Mountain College,O19257272712,Calgary,Calgary,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Rosewood College,O141551857572,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Alberta Ballet School,O111146866787,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Sky Wings Aviation Academy,O110116403397,Penhold,Penhold,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,OHC Calgary,O18779890482,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Solomon College,O110120953397,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Southern Alberta Institute of Technology (SAIT Polytechnic),O18761749692,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Springbank Air Training College,O19257198622,Calgary,Calgary,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,St. Mary’s University,O19273782872,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,St. Stephen’s College (U of Alberta Campus),O19391057115,Edmonton,Edmonton,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Bayswater Calgary,O18713255252,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Sundance College,O142067911062,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,Super T Aviation Academy,O110657012357,Medicine Hat,Medicine Hat,Yes (details for Flight schools),With Limitations,2023-04-26 22:29:09.112874
Alberta,The Esthetic Institute Training Center,O256565633727,Calgary,Calgary,No,No,2023-04-26 22:29:09.112874
Alberta,The King’s University,O18713250142,Edmonton,Edmonton,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,The Royal Alberta College,O142243313422,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Timberline Canadian Alpine Academy,O129951946077,Banff,Banff,No,No,2023-04-26 22:29:09.112874
Alberta,University of Alberta,O19257171832,Camrose,Augustana Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,University of Alberta,O19257171832,Edmonton,"Main, Campus St. Jean",Yes,Yes,2023-04-26 22:29:09.112874
Alberta,University of Calgary,O18886830282,Calgary,Calgary,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,University of Lethbridge,O18776949622,Calgary,Calgary Campus,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,University of Lethbridge,O18776949622,Lethbridge,Lethbridge,Yes,Yes,2023-04-26 22:29:09.112874
Alberta,Vanguard College,O19283889212,Edmonton,Edmonton,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,Wholistic Health Training & Research Centre Ltd,O121289584447,Edmonton,Edmonton,No,No,2023-04-26 22:29:09.112874
Alberta,Absolute Aviation,O134231224842,Wetaskiwin,Wetaskiwin,Yes (details),With Limitations,2023-04-26 22:29:09.112874
Alberta,NAIT (Northern Alberta Institute of Technology),O18713200642,Edmonton,Spruce Grove Crane and Hoist Campus,Yes,Yes,2023-04-26 22:29:09.112874
British Columbia,International Gateway Language Academy and College - Kelowna,O279677394752,Kelowna,,No,No,2023-04-26 22:29:09.112874
British Columbia,Vancoderm Academy,O276771956432,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian Southwestern College,O276706540862,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,EduGlobal College,O142586176482,Westminster,,No,No,2023-04-26 22:29:09.112874
British Columbia,ACE Community College,O275682376662,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,Glenn College,O275700627832,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canada Y.C. Music Academy,O152098916592,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Creative Minds Early Learning Society,O152106045442,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,United Pacific College,O150574968012,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Trinity Language Centre,O150680894402,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Avalon Community College,O150186247152,Nanaimo,,No,No,2023-04-26 22:29:09.112874
British Columbia,Millar College of the Bible,O274452822122,Tappen,,No,No,2023-04-26 22:29:09.112874
British Columbia,Cambie College,O273607567292,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Royal Byng College,O272677492222,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian School of Osteopathy Manual Practice - Vancouver,O272674633932,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Pan Canada College,O272675784222,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,Emerald College,O272675606592,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,NPC College of Arts & Design,O272070464932,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Vancouver Aviation College,O272069908012,Pitt Meadows,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Dorset College,O19394940932,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Focus College,O19330446102,Vancouver Abbotsford,,No,No,2023-04-26 22:29:09.112874
British Columbia,Strava College,O145763011462,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,On The Mic Training,O145410391352,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Story Institute,O266418531812,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian Chinese School of Theology Vancouver,O265275735142,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Columbia Paramedic Academy,O264899246972,"Langley, Victoria",,No,No,2023-04-26 22:29:09.112874
British Columbia,Diving Dynamics – Home of the Commercial Diving Institute of Canada (CDI),O264560001042,Kelowna,,No,No,2023-04-26 22:29:09.112874
British Columbia,West Coast Institute for Studies in Anthroposophy,O264573530022,Sechelt,,No,No,2023-04-26 22:29:09.112874
British Columbia,Vancouver Island College,O264603551792,Nanaimo,,No,No,2023-04-26 22:29:09.112874
British Columbia,Orane International College,O259056158042,Victoria,,No,No,2023-04-26 22:29:09.112874
British Columbia,The Cut Fashion Design Academy,O142582255042,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Vancouver Acting School,O19394452136,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canada Aviation Academy,O259092443252,"Abbotsford, Kamloops",,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Infofit Educators,O19394941064,"Burnaby, Vancouver",,No,No,2023-04-26 22:29:09.112874
British Columbia,Acadia College,O110735702489,Langley,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Vancouver College of Massage Therapy,O212534420437,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Excellence Hair Design & Aesthetics Ltd.,O123960086627,Victoria,,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College - Abbotsford,O212477056057,"Abbotsford, Langley",,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College - Langley,O212477063807,Langley,,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College - Victoria,O19395300024,"Kamloops, Kelowna, Nanaimo, Victoria",,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College – Richmond,O110096211204,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College – Surrey,O19361063652,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,Academy of Learning College – Vancouver – Broadway,O19376530942,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian National Institute of Business,O19376505602,Coquitlam,,No,No,2023-04-26 22:29:09.112874
British Columbia,Acsenda School of Management,O19278931852,Vancouver,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Adler University,O19394452198,Vancouver,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Ajna Yoga Teacher Training,O246351578557,Victoria,,No,No,2023-04-26 22:29:09.112874
British Columbia,Alexander College,O19347185182,"Burnaby, Vancouver",,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,"Arbutus College of Communication Arts, Business & Technology",O19219834012,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,ARV Canada College,O19394940254,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Ashton College,O19219876582,"Abbotsford, Vancouver",,No,No,2023-04-26 22:29:09.112874
British Columbia,Automotive Training Centre,O19394940276,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,Blanche Macdonald Centre,O19257719332,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,"Anderson College of Health, Business and Technology",O116475837152,Surrey,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian College of Naturopathic Medicine – Boucher,O19219916952,New Westminster,,No,No,2023-04-26 22:29:09.112874
British Columbia,Brighton College,O19257044542,"Burnaby, Surrey",,No,No,2023-04-26 22:29:09.112874
British Columbia,British Columbia Institute of Technology,O19330128542,"Burnaby, North Vancouver, Richmond, Vancouver",,Yes,Yes,2023-04-26 22:29:09.112874
British Columbia,Canadian Sports Business Academy,O19395300110,Whistler,,No,No,2023-04-26 22:29:09.112874
British Columbia,Camber College,O19219937972,Powell River,,No,No,2023-04-26 22:29:09.112874
British Columbia,Cambria College,O19283903592,Victoria,,No,No,2023-04-26 22:29:09.112874
British Columbia,Cambridge College,O19394940342,Burnaby,,No,No,2023-04-26 22:29:09.112874
British Columbia,Camosun College,O19361235542,Victoria,,Yes,Yes,2023-04-26 22:29:09.112874
British Columbia,Can-Quest ESL Academy,O116342294647,North Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canada College Vancouver,O140788898652,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canada International Royal Arts College,O142484375262,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian Aviation College,O110027361097,Pitt Meadows,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Canadian Baptist Seminary,O19394940354,Langley,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian College,O19352621432,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian College of English Language,O19352470312,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian College of Performing Arts,O110684673294,Victoria,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian College of Shiatsu Therapy,O19283908462,"North Vancouver, Vancouver",,No,No,2023-04-26 22:29:09.112874
British Columbia,Western British Columbia Polytechnic College,O19240322772,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Canadian Flight Centre (CFC),O110207076237,"Kamloops, Pitt Meadows",,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Canadian School of Natural Nutrition Vancouver Island,O116149580707,"Nanaimo, Victoria",,No,No,2023-04-26 22:29:09.112874
British Columbia,Languages Across Borders,O19274549462,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,ILAC Canadian Tourism College,O19301323922,"Surrey, Vancouver",,No,No,2023-04-26 22:29:09.112874
British Columbia,Capilano University,O19280078102,"North Vancouver, Sechelt",,Yes,Yes,2023-04-26 22:29:09.112874
British Columbia,Capital College,O19283932632,Richmond,,No,No,2023-04-26 22:29:09.112874
British Columbia,Career City College,O254785080177,Kelowna,,No,No,2023-04-26 22:29:09.112874
British Columbia,Central College,O19220052602,New Westminster,,No,No,2023-04-26 22:29:09.112874
British Columbia,Centre for Arts and Technology,O19283900882,"Kelowna, Surrey",,No,No,2023-04-26 22:29:09.112874
British Columbia,Chartered Professional Accountants of British Columbia (CPABC),O19395300152,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Chinook Helicopters (1982) Ltd.,O19280114462,Abbotsford,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,City University of Seattle,O19361040422,"Langford, Vancouver",,Yes (details),With Limitations,2023-04-26 22:29:09.112874
British Columbia,Clearmind International Institute Inc.,O19371018112,"Langley, Vancouver",,No,No,2023-04-26 22:29:09.112874
British Columbia,Cloud Nine College Ltd.,O19394940242,Vancouver,,No,No,2023-04-26 22:29:09.112874
British Columbia,Coastal College of British Columbia,O142195159782,New Westminster,,No,No,2023-04-26 22:29:09.112874
British Columbia,Coastal Pacific Aviation Ltd.,O19377035282,Abbotsford,,Yes (details),With Limitations,2023-04-26 22:29:09.112874
